tender_no,award_date,awarded_amt,tender_detail_status,tender_date,tender_value,LDA_Category
AGC000ETT19300004,19/6/2019,1512081,Awarded to Suppliers,2019-06-19,1512081,General Procurement - Services
AGC000ETT19300005,5/7/2019,2290484,Awarded to Suppliers,2019-07-05,2290484,Engineering Procurement - EPC
AGC000ETT19300006,29/7/2019,580000,Awarded to Suppliers,2019-07-29,580000,Engineering Procurement - Services
AGC000ETT19300007,14/7/2019,516140,Awarded to Suppliers,2019-07-14,516140,Engineering Procurement - Services
AGC000ETT19300008,10/7/2019,2097800,Awarded to Suppliers,2019-07-10,2097800,Engineering Procurement - Goods
AGC000ETT19300009,24/10/2019,448225.33,Awarded to Suppliers,2019-10-24,448225.33,Engineering Procurement - EPC
AGC000ETT19300011,5/12/2019,0.6,Awarded to Suppliers,2019-12-05,0.6,Engineering Procurement - Services
AGC000ETT23000001,29/3/2023,1,Awarded by Items,2023-03-29,1,Engineering Procurement - Services
AGC000ETT19300012,31/12/2019,88476.01,Awarded to Suppliers,2019-12-31,88476.01,Engineering Procurement - EPC
AGC000ETT19300013,25/2/2020,1613763.3,Awarded to Suppliers,2020-02-25,1613763.3,Engineering Procurement - Services
AGC000ETT19300015,12/3/2020,115000,Awarded to Suppliers,2020-03-12,115000,PPP Procurement - DBFO
AGC000ETT19300016,29/4/2020,576000,Awarded by Items,2020-04-29,576000,Engineering Procurement - Services
AGC000ETT19300016,29/4/2020,679200,Awarded by Items,2020-04-29,679200,Engineering Procurement - Services
AGC000ETT19300016,29/4/2020,1687212,Awarded by Items,2020-04-29,1687212,Engineering Procurement - Services
AGC000ETT20300002,24/9/2020,890910,Awarded to Suppliers,2020-09-24,890910,Engineering Procurement - EPC
AGC000ETT20300003,22/7/2020,437500,Awarded to Suppliers,2020-07-22,437500,PPP Procurement - DBFO
AGC000ETT20300004,18/9/2020,4645.54,Awarded by Items,2020-09-18,4645.54,Engineering Procurement - EPC
AGC000ETT20300004,18/9/2020,6257.51,Awarded by Items,2020-09-18,6257.51,Engineering Procurement - EPC
AGC000ETT20300005,16/11/2020,334533,Awarded to Suppliers,2020-11-16,334533,Engineering Procurement - Goods
AGC000ETT21000002,14/7/2021,589920,Awarded by Items,2021-07-14,589920,Engineering Procurement - Services
AGC000ETT21000002,14/7/2021,2078040,Awarded by Items,2021-07-14,2078040,Engineering Procurement - Services
AGC000ETT21000003,1/11/2021,5020611,Awarded to Suppliers,2021-11-01,5020611,PPP Procurement - DBO
AGC000ETT21000004,28/11/2021,2616961,Awarded to Suppliers,2021-11-28,2616961,Engineering Procurement - Services
AGC000ETT21000006,24/11/2021,370440,Awarded to Suppliers,2021-11-24,370440,General Procurement - Goods
AGC000ETT21000008,13/7/2022,153101.05,Awarded to Suppliers,2022-07-13,153101.05,PPP Procurement - DBO
AGC000ETT22000002,5/9/2022,1350000,Awarded to Suppliers,2022-09-05,1350000,PPP Procurement - DBFO
AGC000ETT22000003,18/11/2022,1535000,Awarded to Suppliers,2022-11-18,1535000,Engineering Procurement - Services
AGC000ETT22000004,5/1/2023,2203300,Awarded to Suppliers,2023-01-05,2203300,PPP Procurement - DBFO
AGC000ETT22000005,12/12/2022,19832.5,Awarded to Suppliers,2022-12-12,19832.5,Engineering Procurement - Services
AGC000ETT22000006,20/1/2023,12249837,Awarded to Suppliers,2023-01-20,12249837,Engineering Procurement - Services
AGC000ETT22000007,22/3/2023,422.44,Awarded to Suppliers,2023-03-22,422.44,Engineering Procurement - Services
AGC000ETT22000008,7/3/2023,656800,Awarded to Suppliers,2023-03-07,656800,PPP Procurement - DBFO
AGC000ETT23000001,29/3/2023,1,Awarded by Items,2023-03-29,1,Engineering Procurement - Services
AGC000ETT23000001,29/3/2023,1,Awarded by Items,2023-03-29,1,Engineering Procurement - Services
AGC000ETT23000001,29/3/2023,1,Awarded by Items,2023-03-29,1,Engineering Procurement - Services
AGC000ETT23000001,29/3/2023,1,Awarded by Items,2023-03-29,1,Engineering Procurement - Services
AGC000ETT23000001,29/3/2023,1,Awarded by Items,2023-03-29,1,Engineering Procurement - Services
AGC000ETT23000001,29/3/2023,1,Awarded by Items,2023-03-29,1,Engineering Procurement - Services
CAA000ETT23000023,20/11/2023,189840,Awarded by Items,2023-11-20,189840,Engineering Procurement - Services
AGC000ETT23000001,29/3/2023,1,Awarded by Items,2023-03-29,1,Engineering Procurement - Services
AGC000ETT23000001,29/3/2023,1,Awarded by Items,2023-03-29,1,Engineering Procurement - Services
AGC000ETT23000001,29/3/2023,1,Awarded by Items,2023-03-29,1,Engineering Procurement - Services
AGC000ETT23000001,29/3/2023,1,Awarded by Items,2023-03-29,1,Engineering Procurement - Services
AGC000ETT23000002,30/3/2023,1500000,Awarded to Suppliers,2023-03-30,1500000,Engineering Procurement - Services
AGC000ETT23000003,3/7/2023,5787623,Awarded to Suppliers,2023-07-03,5787623,Engineering Procurement - Services
AGC000ETT23000004,21/6/2023,670374.5,Awarded to Suppliers,2023-06-21,670374.5,PPP Procurement - DBO
AGC000ETT23000005,19/6/2023,804120,Awarded to Suppliers,2023-06-19,804120,Engineering Procurement - Services
AGC000ETT23000007,4/10/2023,1,Awarded to Suppliers,2023-10-04,1,Engineering Procurement - Services
AGC000ETT23000008,18/9/2023,461200,Awarded to Suppliers,2023-09-18,461200,PPP Procurement - DBO
AGO000ETT20300001,14/7/2020,974570,Awarded to Suppliers,2020-07-14,974570,PPP Procurement - DBO
AGO000ETT20300002,29/7/2020,85760,Awarded to Suppliers,2020-07-29,85760,General Procurement - Services
AGO000ETT20300003,16/10/2020,854965,Awarded to Suppliers,2020-10-16,854965,Engineering Procurement - Services
AGO000ETT22000001,18/5/2022,298750,Awarded to Suppliers,2022-05-18,298750,General Procurement - Goods
AGO000ETT22000002,6/6/2022,295698,Awarded to Suppliers,2022-06-06,295698,General Procurement - Goods
AGO000ETT23000001,31/5/2023,358150,Awarded to Suppliers,2023-05-31,358150,General Procurement - Services
AGO000ETT23000002,19/2/2024,91080,Awarded to Suppliers,2024-02-19,91080,Engineering Procurement - Services
AVA000ETT18300028,25/6/2019,298000,Awarded to Suppliers,2019-06-25,298000,Engineering Procurement - Services
AVA000ETT19300001,6/5/2019,177274.8,Awarded to Suppliers,2019-05-06,177274.8,General Procurement - Services
AVA000ETT19300002,5/4/2019,107088,Awarded to Suppliers,2019-04-05,107088,Engineering Procurement - EPC
BCA000ETT18300013,9/5/2019,296200,Awarded to Suppliers,2019-05-09,296200,Engineering Procurement - Goods
BCA000ETT18300019,5/4/2019,155107.5,Awarded to Suppliers,2019-04-05,155107.5,Engineering Procurement - Services
BCA000ETT18300020,24/4/2019,1766200,Awarded to Suppliers,2019-04-24,1766200,Engineering Procurement - Goods
BCA000ETT19300003,23/4/2019,3096787,Awarded to Suppliers,2019-04-23,3096787,Engineering Procurement - Goods
BCA000ETT19300004,17/4/2019,264103,Awarded to Suppliers,2019-04-17,264103,Engineering Procurement - Goods
BCA000ETT19300005,9/7/2019,350000,Awarded to Suppliers,2019-07-09,350000,Engineering Procurement - Goods
BCA000ETT19300006,31/5/2019,168500,Awarded to Suppliers,2019-05-31,168500,PPP Procurement - DBO
BCA000ETT19300007,31/5/2019,324000,Awarded to Suppliers,2019-05-31,324000,PPP Procurement - DBO
BCA000ETT19300011,11/7/2019,12800,Awarded to Suppliers,2019-07-11,12800,General Procurement - Services
BCA000ETT21000004,14/3/2021,15500,Awarded to Suppliers,2021-03-14,15500,Engineering Procurement - Goods
BCA000ETT19300014,29/5/2019,110045,Awarded to Suppliers,2019-05-29,110045,Engineering Procurement - EPC
BCA000ETT19300015,9/9/2019,248378,Awarded to Suppliers,2019-09-09,248378,Engineering Procurement - Goods
BCA000ETT19300016,3/10/2019,1453888,Awarded to Suppliers,2019-10-03,1453888,Engineering Procurement - Goods
BCA000ETT19300020,18/10/2019,892366,Awarded to Suppliers,2019-10-18,892366,Engineering Procurement - Goods
BCA000ETT19300022,25/9/2019,354348,Awarded to Suppliers,2019-09-25,354348,PPP Procurement - DBO
BCA000ETT19300023,8/10/2019,475330,Awarded to Suppliers,2019-10-08,475330,Engineering Procurement - Services
BCA000ETT19300026,8/1/2020,1610826,Awarded to Suppliers,2020-01-08,1610826,Engineering Procurement - Goods
BCA000ETT19300027,27/12/2019,311063,Awarded to Suppliers,2019-12-27,311063,Engineering Procurement - Goods
BCA000ETT19300028,3/10/2019,50153,Awarded to Suppliers,2019-10-03,50153,Engineering Procurement - Goods
BCA000ETT19300030,15/1/2020,460000,Awarded to Suppliers,2020-01-15,460000,General Procurement - Services
BCA000ETT19300031,6/11/2019,75779,Awarded to Suppliers,2019-11-06,75779,Engineering Procurement - Goods
BCA000ETT19300032,28/11/2019,600,Awarded by Items,2019-11-28,600,PPP Procurement - DBFO
BCA000ETT19300032,28/11/2019,1050,Awarded by Items,2019-11-28,1050,PPP Procurement - DBFO
BCA000ETT19300032,28/11/2019,640,Awarded by Items,2019-11-28,640,PPP Procurement - DBFO
BCA000ETT19300032,28/11/2019,1100,Awarded by Items,2019-11-28,1100,PPP Procurement - DBFO
BCA000ETT19300033,2/12/2019,811.5,Awarded to Suppliers,2019-12-02,811.5,Engineering Procurement - Services
BCA000ETT19300035,19/3/2020,56000,Awarded to Suppliers,2020-03-19,56000,PPP Procurement - DBFO
BCA000ETT19300038,16/3/2020,619500,Awarded to Suppliers,2020-03-16,619500,Engineering Procurement - Goods
BCA000ETT20300002,12/3/2020,213200,Awarded to Suppliers,2020-03-12,213200,PPP Procurement - DBFO
BCA000ETT20300003,22/5/2020,478000,Awarded to Suppliers,2020-05-22,478000,PPP Procurement - DBFO
BCA000ETT20300006,4/12/2020,1636500,Awarded by Items,2020-12-04,1636500,PPP Procurement - DBO
BCA000ETT20300006,4/12/2020,3568141,Awarded by Items,2020-12-04,3568141,PPP Procurement - DBO
BCA000ETT20300007,26/3/2020,139631.4,Awarded to Suppliers,2020-03-26,139631.4,PPP Procurement - DBO
BCA000ETT20300009,25/8/2020,1064000,Awarded to Suppliers,2020-08-25,1064000,Engineering Procurement - EPC
BCA000ETT20300013,13/8/2020,221500,Awarded to Suppliers,2020-08-13,221500,Engineering Procurement - EPC
BCA000ETT20300015,3/6/2020,86400,Awarded by Items,2020-06-03,86400,PPP Procurement - DBO
BCA000ETT20300015,3/6/2020,86400,Awarded by Items,2020-06-03,86400,PPP Procurement - DBO
BCA000ETT20300016,25/7/2020,25160.29,Awarded to Suppliers,2020-07-25,25160.29,Engineering Procurement - Goods
BCA000ETT20300017,17/11/2020,6450652,Awarded to Suppliers,2020-11-17,6450652,Engineering Procurement - EPC
BCA000ETT20300019,17/9/2020,1010,Awarded by Items,2020-09-17,1010,Engineering Procurement - Services
BCA000ETT20300019,17/9/2020,4000,Awarded by Items,2020-09-17,4000,Engineering Procurement - Services
BCA000ETT20300019,17/9/2020,1890,Awarded by Items,2020-09-17,1890,Engineering Procurement - Services
BCA000ETT20300019,17/9/2020,4910,Awarded by Items,2020-09-17,4910,Engineering Procurement - Services
BCA000ETT20300019,17/9/2020,2000,Awarded by Items,2020-09-17,2000,Engineering Procurement - Services
BCA000ETT20300019,17/9/2020,5620,Awarded by Items,2020-09-17,5620,Engineering Procurement - Services
BCA000ETT20300019,17/9/2020,3400,Awarded by Items,2020-09-17,3400,Engineering Procurement - Services
BCA000ETT20300019,17/9/2020,4000,Awarded by Items,2020-09-17,4000,Engineering Procurement - Services
BCA000ETT20300019,17/9/2020,2600,Awarded by Items,2020-09-17,2600,Engineering Procurement - Services
BCA000ETT20300019,17/9/2020,4420,Awarded by Items,2020-09-17,4420,Engineering Procurement - Services
BCA000ETT20300019,17/9/2020,4650,Awarded by Items,2020-09-17,4650,Engineering Procurement - Services
BCA000ETT20300019,17/9/2020,4600,Awarded by Items,2020-09-17,4600,Engineering Procurement - Services
BCA000ETT20300020,11/11/2020,2220,Awarded by Items,2020-11-11,2220,General Procurement - Services
BCA000ETT20300020,11/11/2020,1750,Awarded by Items,2020-11-11,1750,General Procurement - Services
BCA000ETT20300020,11/11/2020,3900,Awarded by Items,2020-11-11,3900,General Procurement - Services
BCA000ETT20300020,11/11/2020,2650,Awarded by Items,2020-11-11,2650,General Procurement - Services
BCA000ETT20300020,11/11/2020,2875,Awarded by Items,2020-11-11,2875,General Procurement - Services
BCA000ETT20300020,11/11/2020,5940,Awarded by Items,2020-11-11,5940,General Procurement - Services
BCA000ETT20300020,11/11/2020,4350,Awarded by Items,2020-11-11,4350,General Procurement - Services
BCA000ETT20300020,11/11/2020,3900,Awarded by Items,2020-11-11,3900,General Procurement - Services
BCA000ETT20300024,23/2/2021,2253228,Awarded to Suppliers,2021-02-23,2253228,Engineering Procurement - Services
BCA000ETT20300025,22/2/2021,1868000,Awarded to Suppliers,2021-02-22,1868000,General Procurement - Goods
BCA000ETT20300027,15/3/2021,1547800,Awarded to Suppliers,2021-03-15,1547800,Engineering Procurement - Goods
BCA000ETT20300028,17/3/2021,955100,Awarded to Suppliers,2021-03-17,955100,PPP Procurement - DBO
BCA000ETT21000001,8/6/2021,862245,Awarded to Suppliers,2021-06-08,862245,PPP Procurement - DBO
BCA000ETT21000002,12/5/2021,2161002,Awarded to Suppliers,2021-05-12,2161002,Engineering Procurement - EPC
BCA000ETT21000003,13/7/2021,1220978,Awarded to Suppliers,2021-07-13,1220978,Engineering Procurement - Goods
DEF000ETT21000024,21/5/2021,153900,Awarded by Items,2021-05-21,153900,General Procurement - Services
BCA000ETT21000005,23/8/2021,3298000,Awarded to Suppliers,2021-08-23,3298000,PPP Procurement - DBFO
BCA000ETT21000006,18/5/2021,183600,Awarded to Suppliers,2021-05-18,183600,Engineering Procurement - EPC
BCA000ETT21000007,6/10/2021,538000,Awarded to Suppliers,2021-10-06,538000,General Procurement - Goods
BCA000ETT21000009,6/8/2021,888000,Awarded to Suppliers,2021-08-06,888000,General Procurement - Services
BCA000ETT21000010,7/6/2021,600,Awarded by Items,2021-06-07,600,PPP Procurement - DBFO
BCA000ETT21000010,7/6/2021,1090,Awarded by Items,2021-06-07,1090,PPP Procurement - DBFO
BCA000ETT21000010,7/6/2021,500,Awarded by Items,2021-06-07,500,PPP Procurement - DBFO
BCA000ETT21000010,7/6/2021,620,Awarded by Items,2021-06-07,620,PPP Procurement - DBFO
BCA000ETT21000011,20/11/2021,5607788,Awarded to Suppliers,2021-11-20,5607788,Engineering Procurement - Goods
BCA000ETT21000013,27/9/2021,1298928,Awarded to Suppliers,2021-09-27,1298928,PPP Procurement - DBO
BCA000ETT21000014,14/9/2021,1129310,Awarded to Suppliers,2021-09-14,1129310,Engineering Procurement - Goods
BCA000ETT21000015,14/1/2022,16.53,Awarded to Suppliers,2022-01-14,16.53,General Procurement - Goods
BCA000ETT21000016,14/1/2022,15.38,Awarded to Suppliers,2022-01-14,15.38,PPP Procurement - DBFO
BCA000ETT21000017,14/1/2022,31.23,Awarded to Suppliers,2022-01-14,31.23,Engineering Procurement - Goods
BCA000ETT21000018,14/1/2022,21.38,Awarded to Suppliers,2022-01-14,21.38,Engineering Procurement - Goods
BCA000ETT21000019,14/1/2022,31.25,Awarded to Suppliers,2022-01-14,31.25,Engineering Procurement - Goods
BCA000ETT21000020,14/1/2022,26.21,Awarded to Suppliers,2022-01-14,26.21,Engineering Procurement - Goods
BCA000ETT21000021,14/1/2022,29.31,Awarded to Suppliers,2022-01-14,29.31,Engineering Procurement - Goods
BCA000ETT21000022,14/1/2022,14,Awarded to Suppliers,2022-01-14,14,Engineering Procurement - Goods
BCA000ETT21000023,14/1/2022,18.5,Awarded to Suppliers,2022-01-14,18.5,Engineering Procurement - Goods
BCA000ETT21000025,24/1/2022,1738000,Awarded to Suppliers,2022-01-24,1738000,Engineering Procurement - Services
BCA000ETT21000026,17/12/2021,149550,Awarded to Suppliers,2021-12-17,149550,Engineering Procurement - Services
BCA000ETT21000029,3/3/2022,1198000,Awarded to Suppliers,2022-03-03,1198000,Engineering Procurement - Goods
BCA000ETT21000030,28/3/2022,437000,Awarded to Suppliers,2022-03-28,437000,Engineering Procurement - Services
BCA000ETT21000031,22/3/2022,923400,Awarded to Suppliers,2022-03-22,923400,General Procurement - Goods
BCA000ETT22000004,18/5/2022,1180000,Awarded to Suppliers,2022-05-18,1180000,PPP Procurement - DBFO
BCA000ETT22000007,8/7/2022,945000,Awarded to Suppliers,2022-07-08,945000,PPP Procurement - DBFO
BCA000ETT22000008,15/6/2022,606900,Awarded to Suppliers,2022-06-15,606900,PPP Procurement - DBO
BCA000ETT22000011,14/6/2022,1301750,Awarded to Suppliers,2022-06-14,1301750,PPP Procurement - DBO
BCA000ETT22000012,30/8/2022,4910000,Awarded to Suppliers,2022-08-30,4910000,PPP Procurement - DBO
BCA000ETT22000013,20/6/2022,160200,Awarded to Suppliers,2022-06-20,160200,PPP Procurement - DBFO
BCA000ETT22000014,6/9/2022,51200,Awarded to Suppliers,2022-09-06,51200,General Procurement - Services
BCA000ETT22000015,14/12/2022,13951764.36,Awarded to Suppliers,2022-12-14,13951764.36,General Procurement - Goods
BCA000ETT22000016,7/10/2022,98221,Awarded to Suppliers,2022-10-07,98221,Engineering Procurement - Services
BCA000ETT22000017,6/10/2022,158000,Awarded to Suppliers,2022-10-06,158000,Engineering Procurement - Services
BCA000ETT22000021,6/12/2022,157880,Awarded to Suppliers,2022-12-06,157880,General Procurement - Services
BCA000ETT22000022,16/12/2022,600,Awarded by Items,2022-12-16,600,PPP Procurement - DBFO
BCA000ETT22000022,16/12/2022,485,Awarded by Items,2022-12-16,485,PPP Procurement - DBFO
BCA000ETT22000022,16/12/2022,550,Awarded by Items,2022-12-16,550,PPP Procurement - DBFO
BCA000ETT22000022,16/12/2022,700,Awarded by Items,2022-12-16,700,PPP Procurement - DBFO
BCA000ETT22000023,4/1/2023,196,Awarded to Suppliers,2023-01-04,196,PPP Procurement - DBFO
BCA000ETT22000024,19/1/2023,3313060,Awarded to Suppliers,2023-01-19,3313060,PPP Procurement - DBO
BCA000ETT22000025,11/3/2023,776800,Awarded to Suppliers,2023-03-11,776800,PPP Procurement - DBO
BCA000ETT23000004,3/10/2023,716391.97,Awarded to Suppliers,2023-10-03,716391.97,Engineering Procurement - Services
BCA000ETT23000006,5/6/2023,668000,Awarded to Suppliers,2023-06-05,668000,PPP Procurement - DBO
BCA000ETT23000007,23/10/2023,4150000,Awarded to Suppliers,2023-10-23,4150000,General Procurement - Services
BCA000ETT23000008,23/8/2023,494508,Awarded to Suppliers,2023-08-23,494508,PPP Procurement - DBFO
BCA000ETT23000009,3/7/2023,28000,Awarded to Suppliers,2023-07-03,28000,PPP Procurement - DBO
BCA000ETT23000010,4/9/2023,369300,Awarded to Suppliers,2023-09-04,369300,Engineering Procurement - EPC
BCA000ETT23000012,29/9/2023,2600,Awarded by Items,2023-09-29,2600,PPP Procurement - DBFO
BCA000ETT23000012,29/9/2023,4545,Awarded by Items,2023-09-29,4545,PPP Procurement - DBFO
BCA000ETT23000012,29/9/2023,4400,Awarded by Items,2023-09-29,4400,PPP Procurement - DBFO
BCA000ETT23000012,29/9/2023,2030,Awarded by Items,2023-09-29,2030,PPP Procurement - DBFO
BCA000ETT23000012,29/9/2023,5000,Awarded by Items,2023-09-29,5000,PPP Procurement - DBFO
BCA000ETT23000012,29/9/2023,3050,Awarded by Items,2023-09-29,3050,PPP Procurement - DBFO
BCA000ETT23000012,29/9/2023,3400,Awarded by Items,2023-09-29,3400,PPP Procurement - DBFO
BCA000ETT23000012,29/9/2023,3100,Awarded by Items,2023-09-29,3100,PPP Procurement - DBFO
BCA000ETT23000012,29/9/2023,2750,Awarded by Items,2023-09-29,2750,PPP Procurement - DBFO
BCA000ETT23000012,29/9/2023,2200,Awarded by Items,2023-09-29,2200,PPP Procurement - DBFO
BCA000ETT23000012,29/9/2023,4650,Awarded by Items,2023-09-29,4650,PPP Procurement - DBFO
BCA000ETT23000012,29/9/2023,3025,Awarded by Items,2023-09-29,3025,PPP Procurement - DBFO
BCA000ETT23000012,29/9/2023,4000,Awarded by Items,2023-09-29,4000,PPP Procurement - DBFO
BCA000ETT23000013,19/10/2023,2328002.4,Awarded to Suppliers,2023-10-19,2328002.4,Engineering Procurement - Services
BCA000ETT23000015,4/12/2023,159120,Awarded to Suppliers,2023-12-04,159120,Engineering Procurement - Services
BCA000ETT23000016,22/2/2024,363800,Awarded to Suppliers,2024-02-22,363800,Engineering Procurement - Goods
BCA000ETT23000017,28/2/2024,66000,Awarded to Suppliers,2024-02-28,66000,Engineering Procurement - Goods
BCA000ETT23000020,17/1/2024,10328744.04,Awarded to Suppliers,2024-01-17,10328744.04,General Procurement - Goods
BCA000ETT23000023,1/2/2024,204280,Awarded to Suppliers,2024-02-01,204280,General Procurement - Goods
BCA000ETT23000028,15/2/2024,49650,Awarded to Suppliers,2024-02-15,49650,Engineering Procurement - Services
BCA000ETT23000029,28/3/2024,1,Awarded by Items,2024-03-28,1,Engineering Procurement - Services
BCA000ETT23000029,28/3/2024,1,Awarded by Items,2024-03-28,1,Engineering Procurement - Services
CAA000ETT18300020,14/8/2019,4342495.99,Awarded to Suppliers,2019-08-14,4342495.99,Engineering Procurement - EPC
CAA000ETT18300041,26/6/2019,546000,Awarded to Suppliers,2019-06-26,546000,Engineering Procurement - Services
CAA000ETT18300050,7/5/2019,139690,Awarded to Suppliers,2019-05-07,139690,PPP Procurement - DBO
CAA000ETT19300002,1/7/2019,647000,Awarded by Items,2019-07-01,647000,Engineering Procurement - Services
CAA000ETT19300002,1/7/2019,4445540,Awarded by Items,2019-07-01,4445540,Engineering Procurement - Services
CAA000ETT19300004,26/6/2019,789562,Awarded to Suppliers,2019-06-26,789562,PPP Procurement - DBFO
CAA000ETT19300006,23/4/2019,1120630,Awarded to Suppliers,2019-04-23,1120630,General Procurement - Services
CAA000ETT19300008,12/6/2019,603036,Awarded to Suppliers,2019-06-12,603036,Engineering Procurement - Services
CAA000ETT19300010,27/5/2019,39550,Awarded to Suppliers,2019-05-27,39550,Engineering Procurement - EPC
CAA000ETT19300011,15/7/2019,282650,Awarded to Suppliers,2019-07-15,282650,General Procurement - Goods
CAA000ETT19300013,3/7/2019,2899093.4,Awarded to Suppliers,2019-07-03,2899093.4,Engineering Procurement - Services
CAA000ETT19300014,4/7/2019,64000,Awarded to Suppliers,2019-07-04,64000,PPP Procurement - DBFO
CAA000ETT19300015,12/6/2019,94400,Awarded to Suppliers,2019-06-12,94400,Engineering Procurement - Goods
CAA000ETT19300017,8/7/2019,448580,Awarded to Suppliers,2019-07-08,448580,General Procurement - Services
CAA000ETT19300018,28/5/2019,457250,Awarded to Suppliers,2019-05-28,457250,Engineering Procurement - EPC
CAA000ETT19300019,12/9/2019,275000,Awarded to Suppliers,2019-09-12,275000,Engineering Procurement - EPC
CAA000ETT19300020,16/7/2019,3862010,Awarded to Suppliers,2019-07-16,3862010,Engineering Procurement - Services
CAA000ETT19300022,29/7/2019,100800,Awarded by Items,2019-07-29,100800,Engineering Procurement - Services
CAA000ETT19300022,29/7/2019,232716,Awarded by Items,2019-07-29,232716,Engineering Procurement - Services
CAA000ETT19300023,5/9/2019,791570,Awarded to Suppliers,2019-09-05,791570,PPP Procurement - DBO
CAA000ETT19300026,20/9/2019,166800,Awarded to Suppliers,2019-09-20,166800,General Procurement - Services
CAA000ETT19300030,29/11/2019,237600,Awarded to Suppliers,2019-11-29,237600,Engineering Procurement - EPC
CAA000ETT19300031,4/10/2019,801800,Awarded to Suppliers,2019-10-04,801800,PPP Procurement - DBO
CAA000ETT19300032,7/1/2020,3,Awarded by Items,2020-01-07,3,General Procurement - Services
CAA000ETT19300032,7/1/2020,3,Awarded by Items,2020-01-07,3,General Procurement - Services
CAA000ETT19300033,8/11/2019,909650,Awarded to Suppliers,2019-11-08,909650,Engineering Procurement - EPC
CAA000ETT19300034,3/12/2019,195000,Awarded to Suppliers,2019-12-03,195000,General Procurement - Services
CAA000ETT19300038,30/12/2019,150362.5,Awarded to Suppliers,2019-12-30,150362.5,General Procurement - Goods
CAA000ETT19300039,30/12/2019,32,Awarded to Suppliers,2019-12-30,32,Engineering Procurement - Services
CAA000ETT19300041,6/3/2020,69500,Awarded by Items,2020-03-06,69500,Engineering Procurement - Services
CAA000ETT19300041,6/3/2020,233500,Awarded by Items,2020-03-06,233500,Engineering Procurement - Services
CAA000ETT19300042,28/1/2021,773000,Awarded to Suppliers,2021-01-28,773000,General Procurement - Services
CAA000ETT19300043,12/3/2020,137500,Awarded by Items,2020-03-12,137500,Engineering Procurement - Services
CAA000ETT19300043,12/3/2020,242000,Awarded by Items,2020-03-12,242000,Engineering Procurement - Services
CAA000ETT19300046,5/2/2020,76525,Awarded to Suppliers,2020-02-05,76525,General Procurement - Goods
CAA000ETT19300047,24/3/2020,288000,Awarded to Suppliers,2020-03-24,288000,Engineering Procurement - Services
CAA000ETT20300001,1/6/2020,874800,Awarded to Suppliers,2020-06-01,874800,Engineering Procurement - Services
CAA000ETT20300003,23/3/2020,478800,Awarded to Suppliers,2020-03-23,478800,General Procurement - Services
CAA000ETT20300005,31/3/2020,184000,Awarded to Suppliers,2020-03-31,184000,General Procurement - Services
CAA000ETT20300006,2/4/2020,588665,Awarded to Suppliers,2020-04-02,588665,General Procurement - Services
CAA000ETT20300007,5/6/2020,24096215,Awarded to Suppliers,2020-06-05,24096215,General Procurement - Services
CAA000ETT20300010,6/7/2020,350040,Awarded to Suppliers,2020-07-06,350040,PPP Procurement - DBO
CAA000ETT20300011,16/7/2020,663840,Awarded to Suppliers,2020-07-16,663840,General Procurement - Services
CAA000ETT20300012,21/7/2020,95300,Awarded to Suppliers,2020-07-21,95300,General Procurement - Goods
CAA000ETT20300013,30/7/2020,171720,Awarded to Suppliers,2020-07-30,171720,General Procurement - Goods
