tender_no,tender_description,agency,award_date,tender_detail_status,supplier_name,awarded_amt
PUB000ETT19300147,44190208wspmiscellaneous works at johor river waterworks and linggiu reservoir,Public Utilities Board,4/9/2019,Awarded by Items,FIELDTEC ENGINEERING SDN. BHD.,40785.6
PUB000ETT19300147,44190208wspmiscellaneous works at johor river waterworks and linggiu reservoir,Public Utilities Board,4/9/2019,Awarded by Items,LIM YAK KOON & SONS SDN.BHD.,13079.52
PUB000ETT19300206,44190300wspsupply delivery and commissioning of dissolved oxygen meter and ice maker at johor river waterworks,Public Utilities Board,6/12/2019,Awarded by Items,ARACHEM (M) SDN. BHD.,7121.7
PUB000ETT19300206,44190300wspsupply delivery and commissioning of dissolved oxygen meter and ice maker at johor river waterworks,Public Utilities Board,6/12/2019,Awarded by Items,Y3 KITCHEN SOLUTIONS SDN. BHD.,1459.08
PUB000ETT19300219,44190329wspinstrusive structural maintenance of clear water tank a at johor river waterworks,Public Utilities Board,18/10/2019,Awarded by Items,PHG OILFIELD SERVICES PTE. LTD.,53300
PUB000ETT19300219,44190329wspinstrusive structural maintenance of clear water tank a at johor river waterworks,Public Utilities Board,18/10/2019,Awarded by Items,UFT STRUCTURE RE-ENGINEERING SDN.BHD.,10762.47
PUB000ETT20300009,44190380wspinstruments repair works servicing and purchasing items for advance laboratory at johor river waterworks,Public Utilities Board,13/4/2020,Awarded by Items,INTERSCIENCE SDN BHD,9881.2
PUB000ETT20300009,44190380wspinstruments repair works servicing and purchasing items for advance laboratory at johor river waterworks,Public Utilities Board,13/4/2020,Awarded by Items,One Gasmaster Sdn. Bhd,2876.14
PUB000ETT20300009,44190380wspinstruments repair works servicing and purchasing items for advance laboratory at johor river waterworks,Public Utilities Board,13/4/2020,Awarded by Items,Sartorius Malaysia Sdn Bhd,7227.39
PUB000ETT20300009,44190380wspinstruments repair works servicing and purchasing items for advance laboratory at johor river waterworks,Public Utilities Board,13/4/2020,Awarded by Items,Shimadzu Malaysia Sdn Bhd,4587.7
PUB000ETT19300273,44190423wspsupply of diesel at kota tinggi and permas jaya area johor,Public Utilities Board,13/12/2019,Awarded by Items,KOTA TINGGI SHELL PETROL STATION,26697.85
PUB000ETT19300273,44190423wspsupply of diesel at kota tinggi and permas jaya area johor,Public Utilities Board,13/12/2019,Awarded by Items,TANJUNG P TRADING,35951.99
PUB000ETT20300285,44200059wsppurchase of portable analyser and servicing existing analyser at johor river waterworks,Public Utilities Board,28/1/2021,Awarded by Items,Hach Malaysia Sdn Bhd,51623.38
PUB000ETT20300285,44200059wsppurchase of portable analyser and servicing existing analyser at johor river waterworks,Public Utilities Board,28/1/2021,Awarded by Items,MATRIX OPTICS (M) SDN. BHD.,140.32
PUB000ETT20300285,44200059wsppurchase of portable analyser and servicing existing analyser at johor river waterworks,Public Utilities Board,28/1/2021,Awarded by Items,TECH-LAB SCIENTIFIC SDN. BHD.,2390.35
PUB000ETT20300043,44200103wspprovision of services for haccp internal and external audit at johor river waterworks,Public Utilities Board,17/4/2020,Awarded by Items,CIS CERTIFICATION PTE. LTD.,2550
PUB000ETT20300043,44200103wspprovision of services for haccp internal and external audit at johor river waterworks,Public Utilities Board,17/4/2020,Awarded by Items,GRACE MANAGEMENT CONSULTANCY PTE. LTD.,5600
PUB000ETT20300122,44200120wsppurchasing apparatus and testing reagents for laboratories at johor river waterworks,Public Utilities Board,21/8/2020,Awarded by Items,Hach Malaysia Sdn Bhd,13232.49
PUB000ETT20300122,44200120wsppurchasing apparatus and testing reagents for laboratories at johor river waterworks,Public Utilities Board,21/8/2020,Awarded by Items,RASHAKI VENTURE SDN. BHD.,19089.82
PUB000ETT20300122,44200120wsppurchasing apparatus and testing reagents for laboratories at johor river waterworks,Public Utilities Board,21/8/2020,Awarded by Items,TAY SCIENTIFIC INSTRUMENTS SDN. BHD.,8813
PUB000ETT20300160,44200246wspsupply and delivery of filter clothes and skin membranes to johor river waterworks,Public Utilities Board,25/8/2020,Awarded by Items,GREENCORP ENGINEERING PTE. LTD.,53400
PUB000ETT20300160,44200246wspsupply and delivery of filter clothes and skin membranes to johor river waterworks,Public Utilities Board,25/8/2020,Awarded by Items,SEFAR FABRICATION (M) SDN. BHD.,25857.75
PUB000ETT20300218,44200290wsppurchase chemical standards  consumables for gcms analysis and ph meters,Public Utilities Board,1/12/2020,Awarded by Items,IT TECH RESEARCH (M) SDN.BHD.,10588.79
PUB000ETT20300218,44200290wsppurchase chemical standards  consumables for gcms analysis and ph meters,Public Utilities Board,1/12/2020,Awarded by Items,LELAB SDN.BHD.,14161.39
PUB000ETT21000036,44210007wspprovision of corrective preventive and calibiration of laboratory equipments and supply of purified gases to johor river waterworks,Public Utilities Board,23/3/2021,Awarded by Items,Air Products Malaysia Sdn Bhd,4768.2
PUB000ETT21000036,44210007wspprovision of corrective preventive and calibiration of laboratory equipments and supply of purified gases to johor river waterworks,Public Utilities Board,23/3/2021,Awarded by Items,Hach Malaysia Sdn Bhd,16632.27
PUB000ETT21000036,44210007wspprovision of corrective preventive and calibiration of laboratory equipments and supply of purified gases to johor river waterworks,Public Utilities Board,23/3/2021,Awarded by Items,IMT Scientific Resources Sdn. Bhd.,5079.67
PUB000ETT21000036,44210007wspprovision of corrective preventive and calibiration of laboratory equipments and supply of purified gases to johor river waterworks,Public Utilities Board,23/3/2021,Awarded by Items,LAB SCIENCE SOLUTION PTE. LTD.,2271
PUB000ETT21000036,44210007wspprovision of corrective preventive and calibiration of laboratory equipments and supply of purified gases to johor river waterworks,Public Utilities Board,23/3/2021,Awarded by Items,Shimadzu Malaysia Sdn Bhd,6951.63
PUB000ETT21000115,44210169wspsupply of chemical reagents and consumables for operational laboratory at johor river waterworks,Public Utilities Board,22/7/2021,Awarded by Items,Hach Malaysia Sdn Bhd,62101.78
PUB000ETT21000115,44210169wspsupply of chemical reagents and consumables for operational laboratory at johor river waterworks,Public Utilities Board,22/7/2021,Awarded by Items,LELAB SDN.BHD.,22027.39
PUB000ETT21000115,44210169wspsupply of chemical reagents and consumables for operational laboratory at johor river waterworks,Public Utilities Board,22/7/2021,Awarded by Items,TAY SCIENTIFIC INSTRUMENTS SDN. BHD.,3959.42
PUB000ETT21000154,44210219wspcomprehensive maintenances for analytical equipments and supply of laboratory equipment at johor river waterworks,Public Utilities Board,2/9/2021,Awarded by Items,AGILENT TECHNOLOGIES SALES (MALAYSIA) SDN BHD,13926.75
PUB000ETT21000154,44210219wspcomprehensive maintenances for analytical equipments and supply of laboratory equipment at johor river waterworks,Public Utilities Board,2/9/2021,Awarded by Items,MICRO AIRE-CARE PTE. LTD.,2400
