tender_no,tender_description,agency,award_date,tender_detail_status,supplier_name,awarded_amt,tender_clean,topic,gamma,LDA_Category
MHA00003000011792,provision of 4year license subscriptions for adobe media editing software,Ministry of Home Affairs - Ministry Headquarter 1,28/4/2022,Award by interface record,INNOCOM TECHNOLOGIES PTE LTD,228033,provision   license subscriptions  adobe media editing software,4,0.7844211350052435,Engineering Procurement - Services
HDB000ETT21000232,supply of programming and it related services for a period of 2 years contract 35  2022,Housing and Development Board,15/3/2022,Awarded to Suppliers,STIE PTE. LTD.,2205,  programming    services     years contract ,3,0.5953854646259269,Engineering Procurement - Goods
EMA000ETT23000001,provision of public relations and communications consultancy services for the energy market authority ema and the singapore international energy week siew for 2023 and 2024 with an option to extend for 2025 and 2026 emaitt20220054,Energy Market Authority of Singapore,8/5/2023,Awarded to Suppliers,FINN PARTNERS ASIA TRADING PTE. LTD.,1758600,provision  public relations  communications consultancy services   energy market authority ema    international energy week siew          emaitt,5,0.6288557423924062,Engineering Procurement - EPC
JTC000ETT22000021,appointment of facilities management company for facilities maintenance of east department 2 properties for a period of 3 years,Jurong Town Corporation,8/7/2022,Awarded to Suppliers,JONES LANG LASALLE PROPERTY CONSULTANTS PTE LTD,37027684.5,appointment  facilities management company  facilities maintenance  east department properties     years,2,0.6613760449249241,General Procurement - Services
HSA000ETT21000054,design development delivery installation testing commissioning training and maintenance of the electronic common technical document ectd system consisting of intranet system and internet system,Health Sciences Authority,22/6/2022,Awarded to Suppliers,LORENZ Archiv-Systeme GmbH,4160600,design development delivery installation testing commissioning training  maintenance   electronic common technical document ectd system consisting  intranet system  internet system,7,0.980712500599897,PPP Procurement - DBFO
SFA000ETT20300039,provision of 247 call answering services for sfa contact centre,Singapore Food Agency,4/12/2020,Awarded to Suppliers,E M SERVICES PRIVATE LIMITED,1267200,provision  call answering services  sfa contact centre,4,0.9495926892157757,Engineering Procurement - Services
HDB000ETT23000039,soil investigation for the proposed development,Housing and Development Board,22/12/2023,Awarded to Suppliers,ELEMENT GEOTECHNICAL TESTING (S) PTE. LTD.,3058326,soil investigation   proposed development,6,0.9155135807324812,PPP Procurement - DBO
ITE000ETT20300040,q20a00730vmtterm contract for audiovisual support and maintenance services at ite headquarters  ite college central  ang mo kio and ite college east  simei from 1 april 2021 to 31 march 2023 with option to extend from 1 april 2023 to 31 march 2024,Institute of Technical Education,17/2/2021,Awarded to Suppliers,ELECTRO-ACOUSTICS SYSTEMS PTE. LTD.,1912716,qavmtterm contract  audiovisual support  maintenance services  ite headquarters ite college central ang mo kio  ite college east simei  april  march      april  march ,3,0.6992987400819026,Engineering Procurement - Goods
GVT000ETT19300034,for the supply and delivery of group hospitalisation and surgical insurance services pr191316,Government Technology Agency  (GovTech),27/12/2019,Awarded to Suppliers,ACCLAIM INSURANCE BROKERS PTE. LTD.,569828,    delivery  group hospitalisation  surgical insurance services pr,2,0.7556478665556107,General Procurement - Services
SPO000ETT19300071,ro19sa0112v1 tender for term contract for leap experiential learning camp ay202021 overseas from 1 april 2020 to 31 march 2021 with an option to renew for another one year from 1 april 2021 to 31 march 2022,Singapore Polytechnic,20/12/2019,Awarded to Suppliers,WONDERS TRAVEL PTE. LTD.,224360,rosav tender  term contract  leap experiential learning camp ay overseas  april  march     renew      april  march ,6,0.8174244222404854,PPP Procurement - DBO
MAS000ETT21000030,invitation to tender for red hat openshift data foundation advanced bare metal node licenses and postgres enterprise supportreq289aa,Monetary Authority of Singapore,16/2/2022,Awarded to Suppliers,SOFTWAREONE PTE. LTD.,738504.36,invitation  tender  red hat openshift data foundation advanced bare metal node licenses  postgres enterprise supportreqaa,5,0.8675770876078798,Engineering Procurement - EPC
HLTHQ0ETT23000006,the ministry of health is inviting interested parties to submit proposals for the provision of community hospital services at the community hospital located within the eastern integrated health campus,Ministry of Health-Ministry Headquarter,25/10/2023,Awarded to Suppliers,SINGHEALTH COMMUNITY HOSPITALS,1, ministry  health  inviting interested parties  submit proposals   provision  community hospital services   community hospital located within  eastern integrated health campus,4,0.5100862043709989,Engineering Procurement - Services
EDB000ETT20300005,tender t062020 for the provision of event registration and management app requester koh hui rong,Economic Development Board,24/7/2020,Awarded to Suppliers,"One Clipboard, Inc",138830,tender t   provision  event registration  management app requester koh hui rong,6,0.6484020501638345,PPP Procurement - DBO
HSA000ETT23000081,invitation to tender for the supply of antibody identification panel,Health Sciences Authority,20/3/2024,Awarded to Suppliers,ORTHO-CLINICAL DIAGNOSTICS SINGAPORE PTE. LTD.,102400,invitation  tender     antibody identification panel,7,0.5632275410849787,PPP Procurement - DBFO
CDVHQ0ETT21000027,invitation to tender for the provision of interpretation services,Ministry of Social and Family Development - Ministry Headquarter,29/12/2021,Awarded by Items,ELITE ASIA (SG) PTE. LTD.,153090,invitation  tender   provision  interpretation services,4,0.9310516563258564,Engineering Procurement - Services
CPF000ETT21000022,period contract for executive health screening and flu vaccinations,Central Provident Fund Board,30/8/2021,Awarded to Suppliers,MINMED GROUP PTE. LTD.,678, contract  executive health screening  flu vaccinations,3,0.7870591167632695,Engineering Procurement - Goods
CPF000ETT19300012,for the provision of security services for cpf board premises,Central Provident Fund Board,13/8/2019,Awarded to Suppliers,CERTIS CISCO PROTECTION SERVICES PTE. LTD.,12734076,  provision  security services  cpf board premises,4,0.9417622727750654,Engineering Procurement - Services
IRA000ETT21000012,renewal of rpa licences,Inland Revenue Authority of Singapore,24/1/2022,Awarded to Suppliers,SIMPLIFYNEXT PTE. LTD.,43500,renewal  rpa licences,4,0.8909348998050625,Engineering Procurement - Services
HSA000ETT22000035,supply and delivery of 450ml quadruple blood bag with inline leucocyte filter,Health Sciences Authority,17/11/2022,Awarded to Suppliers,TERUMO BCT ASIA PTE. LTD.,954800,  delivery  ml quadruple blood bag  inline leucocyte filter,2,0.9555669779929151,General Procurement - Services
PUB000ETT21000206,supply and delivery of pyriproxyfen in granular formulation,Public Utilities Board,20/5/2022,Awarded to Suppliers,SUMITOMO CHEMICAL ASIA PTE LTD,303948,  delivery  pyriproxyfen  granular formulation,3,0.6901554757548118,Engineering Procurement - Goods
ITE000ETT23000001,ca2200920me  supply deliver install and commission of an electrified marine vessel trainer system ev system,Institute of Technical Education,22/3/2023,Awarded to Suppliers,SMITECH (ASIA) PTE LTD,100000,came  deliver install  commission   electrified marine vessel trainer system ev system,2,0.45884944081505247,General Procurement - Services
NST000ETT21000049,provision of one 1 unit of highthroughput liquid chromatography separation system and two 2 units of ultra high performance liquid chromatography uhplc systems,"Agency for Science, Technology and Research",15/9/2021,Awarded to Suppliers,WATERS PACIFIC PTE. LTD.,304763.6,provision   unit  highthroughput liquid chromatography separation system   units  ultra high performance liquid chromatography uhplc systems,7,0.9085874902956314,PPP Procurement - DBFO
MAS000ETT19300016,invitation to tender for the stock keeping unit sku crane system upgrade pr8420cd,Monetary Authority of Singapore,30/7/2019,Awarded to Suppliers,DAIFUKU MECHATRONICS (SINGAPORE) PTE LTD,1199608,invitation  tender   stock keeping unit sku crane system upgrade prcd,7,0.7295639846186424,PPP Procurement - DBFO
BCA000ETT22000012,appointment of term contractor to maintain foreshore structures for building and construction authority bca for a period of three 3 years,Building and Construction Authority,30/8/2022,Awarded to Suppliers,OUNG CONSTRUCTION (S) PTE LTD,4910000,appointment  term contractor  maintain foreshore structures  building  construction authority bca      years,3,0.8675447934951401,Engineering Procurement - Goods
URA000ETT24000001,term contract for maintenance and servicing of singapore city gallery at the ura centre for a period of twentyfour 24 months with an option to extend up to six 6 months,Urban Redevelopment Authority,22/3/2024,Awarded to Suppliers,PICO ART INTERNATIONAL PTE. LTD.,136975,term contract  maintenance  servicing   city gallery   ura centre     twentyfour months        six months,3,0.9698571265297974,Engineering Procurement - Goods
EDB000ETT21000014,invitation to tender t152021 for the appointment of a design and strategic space  change management consultant to undertake a space review study and design consultancy services for edb existing office at 250 north bridge road raffles city tower singapore 179101 oic brenda yeo pr 20210811,Economic Development Board,30/11/2021,Awarded to Suppliers,JONES LANG LASALLE PROPERTY CONSULTANTS PTE LTD,162982,invitation  tender t   appointment   design  strategic space change management consultant  undertake  space review study  design consultancy services  edb existing office  north bridge road raffles city tower  oic brenda yeo pr ,6,0.7508643855576695,PPP Procurement - DBO
LTA000ETT20300009,construction of tengah vehicular interchange at kje,Land Transport Authority,8/11/2021,Awarded to Suppliers,CHYE JOO CONSTRUCTION PTE LTD,240448000,construction  tengah vehicular interchange  kje,1,0.9310516744869072,General Procurement - Goods
ITE000ETT19300032,appointment of panel of service providers for sign language and note taking services for a period of two 2 years with option to extend for two 2 more years,Institute of Technical Education,22/10/2019,Awarded by Items,THE SINGAPORE ASSOCIATION FOR THE DEAF,160,appointment  panel   providers  sign language  note taking services      years        years,2,0.9640811797186484,General Procurement - Services
CCY000ETT19300004,provision of photography and social media  digital content services,"Ministry of Culture, Community and Youth - Ministry Headquarter",13/11/2019,Awarded by Items,CAPTURED PTE. LTD.,45190,provision  photography  social media digital content services,2,0.9495926733853893,General Procurement - Services
RPO000ETT22000023,provision of internal audit services for rp and rpi for fy2022 and fy2023 with option to renew for another four financial years annually for opt,Republic Polytechnic,7/12/2022,Awarded to Suppliers,IN.CORP BUSINESS ADVISORY PTE. LTD.,456902,provision  internal audit services  rp  rpi  fy  fy    renew   four financial years annually  opt,4,0.974032792565907,Engineering Procurement - Services
CAA000ETT23000001,provision of consultancy services on sustainable aviation fuel structural offtake mechanism,Civil Aviation Authority of Singapore,20/4/2023,Awarded to Suppliers,THE BOSTON CONSULTING GROUP SINGAPORE PTE. LTD.,1680000,provision  consultancy services  sustainable aviation fuel structural offtake mechanism,5,0.9602751670365219,Engineering Procurement - EPC
BCA000ETT19300028,minor renovation works at bca hq  jem office level 10 pantry for realignment of glass partition downsize pantry and creation of new room,Building and Construction Authority,3/10/2019,Awarded to Suppliers,DAVOE CREATIVE PTE. LTD.,50153,minor renovation works  bca hq jem office level pantry  realignment  glass partition downsize pantry  creation  new room,5,0.8644881908425238,Engineering Procurement - EPC
TPO000ETT23000030,tporeq2023004416 jas additions  alterations to existing 3storey teaching facilities block 31 at temasek polytechnic on lot 06163c mk 28 at 21 tampines avenue 1,Temasek Polytechnic,7/11/2023,Awarded to Suppliers,SH INTEGRATED SERVICES PTE. LTD.,8910497,tporeq jas additions alterations  existing storey teaching facilities block  temasek polytechnic  lot c mk  tampines avenue ,1,0.854504855102696,General Procurement - Goods
MPA000ETT22000006,five years maintenance services for maritime and port authority of singapore mpa generator systems,Maritime and Port Authority of Singapore,23/5/2022,Awarded to Suppliers,EN-SYST EQUIPMENT & SERVICES PTE LTD,3748000,five years maintenance services  maritime  port authority   mpa generator systems,3,0.9640811770376975,Engineering Procurement - Goods
NPO000ETT19300035,tender ref nphs8t19 grf hs190039 term contract for the supply and delivery of vaccinations for staff and students bound for overseas trips medical examination blood screening vaccinations and maintain records for staff and students of school of health sciences hs ngee ann polytechnic np,Ngee Ann Polytechnic,7/2/2020,Awarded to Suppliers,RAFFLES MEDICAL GROUP LTD,570220,tender ref nphst grf hs term contract     delivery  vaccinations  staff  students bound  overseas trips medical examination blood screening vaccinations  maintain records  staff  students  school  health sciences hs ngee ann polytechnic np,3,0.5441969665970209,Engineering Procurement - Goods
HDB000ETT23000197,proposed addition and alteration to existing sembawang mart,Housing and Development Board,18/12/2023,Awarded to Suppliers,SOONLY PTE. LTD.,2083800,proposed addition  alteration  existing sembawang mart,1,0.9417622916666106,General Procurement - Goods
JTC000ETT22000084,247 call center operation for jtc essential services centre,Jurong Town Corporation,15/8/2022,Awarded to Suppliers,CPG FACILITIES MANAGEMENT PTE LTD,98126, call center operation  jtc essential services centre,7,0.5165299499197837,PPP Procurement - DBFO
DEF000ETT21000044,provision of cleaning and waste management services,Ministry of Defence,25/6/2021,Awarded to Suppliers,SEMBWASTE PTE. LTD.,195555.39,provision  cleaning  waste management services,4,0.690186255203666,Engineering Procurement - Services
ITA000ETT19300001,rfp for provision of inmarket consultancy services for the business of design programme,Ministry of Communications and Information,25/4/2019,Awarded by Items,Bonucchi e associati srl,85000,rfp  provision  inmarket consultancy services   business  design programme,5,0.9555669547152087,Engineering Procurement - EPC
CITHQ0ETT20300002,software licences and consulting services for crisis information management system,Ministry of Transport - Ministry Headquarter,5/10/2020,Awarded to Suppliers,ASHNIK PTE. LTD.,199400,software licences  consulting services  crisis information management system,4,0.714311728998446,Engineering Procurement - Services
HSA000ETT20300014,supply and delivery of automated cell processor and consumables,Health Sciences Authority,30/10/2020,Awarded to Suppliers,ZUELLIG PHARMA PTE. LTD.,199440,  delivery  automated cell processor  consumables,7,0.6258885741488989,PPP Procurement - DBFO
JTC000ETT20300055,management of jtc sand stockpile at tuas view extension,Jurong Town Corporation,5/8/2020,Awarded to Suppliers,GLOBAL MARITIME & PORT SERVICES PTE. LTD.,2222974,management  jtc sand stockpile  tuas view extension,2,0.8005685195619716,General Procurement - Services
NST000ETT21000023,commissioning of health technology innovation training whitepaper,"Agency for Science, Technology and Research",27/6/2021,Awarded to Suppliers,L.E.K. CONSULTING PTE. LTD.,350000,commissioning  health technology innovation training whitepaper,7,0.47573390373643815,PPP Procurement - DBFO
PUB000ETT20300071,supply and delivery of liquid carbon dioxide liquid oxygen and aluminium chlorohydrate to pub,Public Utilities Board,17/7/2020,Awarded by Items,INTERNATIONAL SCIENTIFIC (PRIVATE) LIMITED,1407000,  delivery  liquid carbon dioxide liquid oxygen  aluminium chlorohydrate  pub,2,0.9602751662574561,General Procurement - Services
EAB000ETT20300004,supply fabricate install and deliver furniture common areas for singapore examinations and assessment board,Singapore Examinations and Assessment Board,19/5/2020,Awarded by Items,BENEL SINGAPORE PTE LTD,75040, fabricate install  deliver furniture common areas   examinations  assessment board,6,0.8359675389009031,PPP Procurement - DBO
HDB000ETT20300202,supply of programming and it related services for a period of 2 years contract 32  2020,Housing and Development Board,25/3/2021,Awarded to Suppliers,ML CONSULTING PTE LTD,2037,  programming    services     years contract ,3,0.5953854646259269,Engineering Procurement - Goods
MOE000ETT18300112,architectural consultancy services for the proposed addition and alteration works involving lift installation and ancillary works for schools package 1a,Ministry of Education,22/4/2019,Awarded to Suppliers,INTERCONSULTANTS PTE LTD,2.92,architectural consultancy services   proposed addition  alteration works involving lift installation  ancillary works  schools package ,1,0.7446301270070469,General Procurement - Goods
FINCEDETT20300007,this is an electronic gpacovered open tender for the provision of integrated facilities management and fire safety manager at site offices of singapore customs for a period of two 2 years with an option to extend for one 1 year,Ministry of Finance - Singapore Customs,6/10/2020,Awarded to Suppliers,CBRE GWS PTE. LTD.,601086.78,   electronic gpacovered open tender   provision  integrated facilities management  fire safety manager  site offices   customs      years        ,4,0.6984642784012436,Engineering Procurement - Services
PAS000ETT21000219,the provision of application maintenance and support services for pa common services at government commercial cloud,People's Association,11/1/2022,Awarded to Suppliers,AZAAS PTE. LTD.,882280, provision  application maintenance  support services  pa common services   commercial cloud,4,0.9640811711754793,Engineering Procurement - Services
LAWHQ0ETT21000004,invitation to tender itt for the provision of an integrated media campaign for sc week 2021,Ministry of Law-Ministry Headquarter,15/6/2021,Awarded to Suppliers,REDHILL COMMUNICATIONS PTE. LTD.,484500,invitation  tender itt   provision   integrated media campaign  sc week ,2,0.6087201244283104,General Procurement - Services
LTA000ETT18300173,security services for thomsoneast coast line for contracts t215 to t228,Land Transport Authority,6/5/2019,Awarded by Items,FOCAL INVESTIGATION & SECURITY AGENCY PTE LTD,2922980,security services  thomsoneast coast line  contracts t  t,6,0.5325224298467351,PPP Procurement - DBO
SSG000ETT21000006,appointment of a panel of external auditors to conduct audits of ssg funding to training providers and enterprises including but not limited to applications and claims through the ssg skillsconnect and training provider gateway and skillsfuture credits for 2 years with the option to extend for another 2 years,SkillsFuture Singapore,30/6/2021,Awarded by Items,JPL WONG & CO,27000,appointment   panel  external auditors  conduct audits  ssg funding  training providers  enterprises    limited  applications  claims   ssg skillsconnect  training provider gateway  skillsfuture credits  years        years,2,0.9840042551469914,General Procurement - Services
URA000ETT21000019,proposed temporary heavy vehicle park hvp at gali batu,Urban Redevelopment Authority,30/8/2021,Awarded to Suppliers,HUATIONG CONTRACTOR PTE LTD,3000000,proposed temporary heavy vehicle park hvp  gali batu,5,0.9555669720666035,Engineering Procurement - EPC
PUB000ETT20300046,abc waters project at geylang river mountbatten road to singapore indoor stadium,Public Utilities Board,15/7/2020,Awarded to Suppliers,TKB C-E CONTRACTOR PTE. LTD.,3988000,abc waters project  geylang river mountbatten road   indoor stadium,7,0.6881120249412997,PPP Procurement - DBFO
HLTHQ0ETT21000008,invitation to tender for the provision of quantity surveying consultancy services to the ministry of health for the proposed colocated development of a nursing home and polyclinic at bidadari singapore,Ministry of Health-Ministry Headquarter,6/7/2021,Awarded to Suppliers,AECOM COST CONSULTING AND PROJECT MANAGEMENT (SINGAPORE) PTE. LTD.,398000,invitation  tender   provision  quantity surveying consultancy services   ministry  health   proposed colocated development   nursing home  polyclinic  bidadari ,6,0.6631565394621316,PPP Procurement - DBO
PUB000ETT23000010,supply of technical support services for the maintenance of pub corporate website and eservices,Public Utilities Board,30/5/2023,Awarded to Suppliers,ARETHOS PTE. LTD.,728000,  technical support services   maintenance  pub corporate website  eservices,4,0.48336443844075694,Engineering Procurement - Services
PUB000ETT19300041,professional engineering services for water mains replacement and diversion works,Public Utilities Board,11/7/2019,Awarded to Suppliers,CH2M HILL SINGAPORE PRIVATE LIMITED,4480000,professional engineering services  water mains replacement  diversion works,1,0.785721800053818,General Procurement - Goods
ITE000ETT21000013,eitea2100152bsevm  aes design supply and delivery of integrated aviation exhibition for aostc with option annual service maintenance at ite college east,Institute of Technical Education,13/9/2021,Awarded to Suppliers,REV ILLIMITE PTE. LTD.,258350,eiteabsevm aes design   delivery  integrated aviation exhibition  aostc   annual  maintenance  ite college east,2,0.6678141507154206,General Procurement - Services
SFA000ETT22000005,invitation to tender for the provision of design and build services for office fitout at jem level 15 office,Singapore Food Agency,27/7/2022,Awarded to Suppliers,ATELIER TANG (PTE.) LTD.,852000,invitation  tender   provision  design  build services  office fitout  jem level office,6,0.8333607559365859,PPP Procurement - DBO
PUB000ETT21000178,replacement of waterproof traffic deck coating system and minor repair works for outdoor multistorey car park at macritchie reservoir park,Public Utilities Board,14/2/2022,Awarded to Suppliers,S M SYSTEMS PTE LTD,359300,replacement  waterproof traffic deck coating system  minor repair works  outdoor multistorey car park  macritchie reservoir park,7,0.7229234777587178,PPP Procurement - DBFO
SPO000ETT22000031,sporeq2022003143sdtender for leap experiential learning programme cca  school leaders for a period from 01 june 2022 to 31 march 2023,Singapore Polytechnic,1/6/2022,Awarded to Suppliers,PIVOTAL YOUTH PTE. LTD.,307200,sporeqsdtender  leap experiential learning programme cca school leaders     june  march ,6,0.9640811793201922,PPP Procurement - DBO
RGS000ETT23000004,to provide fabrication and installation of additional steps in auditorium,Raffles Girls' School (Secondary),21/4/2023,Awarded to Suppliers,ATELIER R PRIVATE LIMITED,23700,  fabrication  installation  additional steps  auditorium,6,0.7348819787753007,PPP Procurement - DBO
PAS000ETT21000176,provision of managing agent services for our tampines hub for a period of two years with an option to extend for another two years,People's Association,2/11/2021,Awarded to Suppliers,SMM PTE. LTD.,9945050.66,provision  managing agent services   tampines hub      years         years,3,0.6476319118089572,Engineering Procurement - Goods
PAS000ETT19300211,provision of outsourcing services for quality service management on pa training providers for pa courses,People's Association,14/2/2020,Awarded to Suppliers,ACE RECRUITERS,136689.3,provision  outsourcing services  quality  management  pa training providers  pa courses,5,0.6151095206266324,Engineering Procurement - EPC
NEA000ETT21000082,db tender for proposed improvement works to hawker centre,National Environment Agency,15/3/2022,Awarded to Suppliers,FONG YUE DEVELOPMENT PTE. LTD.,5088000,db tender  proposed improvement works  hawker centre,1,0.8016151519278002,General Procurement - Goods
DEF000ETT18300123,purchase of musical instruments please refer to the attached itt document for details,Ministry of Defence,8/5/2019,Awarded by Items,ACCENT MUSICAL EQUIPMENT PTE LTD,24035,purchase  musical instruments     attached itt document  details,5,0.9495926826976661,Engineering Procurement - EPC
HPB000ETT22000013,hsmt1322  invitation to tender for provision of health screening and followup services,Health Promotion Board,16/4/2023,Awarded by Items,ASIAMEDIC WELLNESS ASSESSMENT CENTRE PTE. LTD.,5752563,hsmt invitation  tender  provision  health screening  followup services,3,0.591524130067996,Engineering Procurement - Goods
GVT000ETT21000023,for the provision of contactless epurse application cepas payment services for government ministries departmentsorgans of state statutory boards and participating entities,Government Technology Agency  (GovTech),17/8/2022,Awarded by Items,ASCAN MARKETING SERVICES PTE LTD,1,  provision  contactless epurse application cepas payment services   ministries departmentsorgans  state statutory boards  participating ,7,0.7200589067378865,PPP Procurement - DBFO
ITE000ETT19300030,term contract for preventive maintenance and servicing of swimming pool and water features at ite establishments from 1 oct 2019 to 30 sep 2021 with an option to extend from 1 oct 2021 to 30 sep 2022,Institute of Technical Education,25/9/2019,Awarded by Items,MODERN POOLS PTE. LTD.,85680,term contract  preventive maintenance  servicing  swimming pool  water features  ite establishments  oct  sep       oct  sep ,7,0.7788164248243189,PPP Procurement - DBFO
HDB000ETT21000164,term contract for the provision of testing services for semidestructive and nondestructive tests on hdb buildings batch 9,Housing and Development Board,1/12/2021,Awarded to Suppliers,SETSCO SERVICES PTE LTD,107,term contract   provision  testing services  semidestructive  nondestructive tests  hdb buildings batch ,5,0.6497282074093569,Engineering Procurement - EPC
JTC000ETT20300106,placement of comprehensive general liability insurance second excess layer policy for jtcs corporate insurance programme for a period of 29 months,Jurong Town Corporation,29/10/2020,Awarded to Suppliers,AIG ASIA PACIFIC INSURANCE PTE. LTD.,120833,placement  comprehensive general liability insurance second excess layer policy  jtcs corporate insurance programme     months,3,0.8036775192946243,Engineering Procurement - Goods
HDB000ETT19300239,thirteen term contract for the supply delivery installation and maintenance of lift surveillance system lss for a period of forty eight 48 months,Housing and Development Board,13/12/2019,Awarded to Suppliers,WILLOWGLEN SERVICES PTE LTD,1052500,thirteen term contract    delivery installation  maintenance  lift surveillance system lss     forty eight months,5,0.38550806514397284,Engineering Procurement - EPC
PAS000ETT21000094,provision of internal audit services to the peoples association for the review of compliance with polices and regulations of accounts of grassroots organisations and clubs and councils,People's Association,20/10/2021,Awarded by Items,BDO LLP,260000,provision  internal audit services   peoples association   review  compliance  polices  regulations  accounts  grassroots organisations  clubs  councils,5,0.9757148969278286,Engineering Procurement - EPC
LTA000ETT21000024,provision of parking wardens services,Land Transport Authority,25/10/2021,Awarded by Items,CERTIS CISCO AUXILIARY POLICE FORCE PTE. LTD.,79210142.82,provision  parking wardens services,4,0.9155135994477578,Engineering Procurement - Services
SCO000ETT19300003,for the supply pack and delivery of assorted food items to changi prison complex for ramadan 2019,Yellow Ribbon Singapore,12/4/2019,Awarded to Suppliers,THONG CHEW FOOD INDUSTRIES PTE LTD,341550,   pack  delivery  assorted food items  changi prison complex  ramadan ,7,0.5003509775832466,PPP Procurement - DBFO
PAS000ETT19300044,appointment of term contractor for a term of two 2 years with option to extend for another two 2 years for the new upgrading and extension of 130 residents committee centres in north east south east north west and south west districts,People's Association,4/6/2019,Awarded by Items,LOGISTICS CONSTRUCTION PTE LTD,2091000,appointment  term contractor   term   years        years   new upgrading  extension  residents committee centres  north east south east north west  south west districts,1,0.40729559854222547,General Procurement - Goods
HDB000ETT22000206,term contract for provision of services for laboratory testing operation and maintenance at hdb engineering materials laboratory batch 7,Housing and Development Board,9/12/2022,Awarded to Suppliers,YS YONG SERVICES PTE LTD,21440.29,term contract  provision  services  laboratory testing operation  maintenance  hdb engineering materials laboratory batch ,3,0.5064102681758494,Engineering Procurement - Goods
