tender_no,tender_description,agency,award_date,tender_detail_status,supplier_name,awarded_amt
AGC000ETT19300005,itt for the supply design development delivery installation testing and commissioning of a gigabit passive optical network gpon with option for maintenance,Attorney-General's Chambers,5/7/2019,Awarded to Suppliers,DELTEQ PTE LTD,2290484
AGC000ETT19300006,invitation to tender for provision of consultancy services to develop an executive development roadmap review agcs job families and competency framework and design an agile organisation structure,Attorney-General's Chambers,29/7/2019,Awarded to Suppliers,PRICEWATERHOUSECOOPERS LLP,580000
AGC000ETT19300007,invitation to tender to build a data centre in agc funan office and comprehensive dc maintenance,Attorney-General's Chambers,14/7/2019,Awarded to Suppliers,IX TECHNOLOGY PTE. LTD.,516140
AGC000ETT19300008,itt for the fitting out works of the attorneygenerals chambers office at the new funan mall,Attorney-General's Chambers,10/7/2019,Awarded to Suppliers,D' PERCEPTION SINGAPORE PTE. LTD.,2097800
AGC000ETT19300009,invitation to tender for the supply delivery installation testing commissioning of a fully operational video conferencing system for agc with maintenance support and onsite technical services,Attorney-General's Chambers,24/10/2019,Awarded to Suppliers,ACTIVEO SINGAPORE PTE. LTD.,448225.33
AGC000ETT19300011,invitation to tender for the provision of printing and related services for the attorneygenerals chambers,Attorney-General's Chambers,5/12/2019,Awarded to Suppliers,FUJIFILM BUSINESS INNOVATION SINGAPORE PTE. LTD.,0.6
AGC000ETT23000001,itt for the provision of legal services for whole of govt for 3 years with an option to extend up to 2 years,Attorney-General's Chambers,29/3/2023,Awarded by Items,KELVIN CHIA PARTNERSHIP,1
AGC000ETT19300012,invitation to tender for the supply delivery installation testing commissioning of pointtopoint ptp metroethernet link for agc with maintenance and support services for agc,Attorney-General's Chambers,31/12/2019,Awarded to Suppliers,SINGAPORE TELECOMMUNICATIONS LIMITED,88476.01
AGC000ETT19300013,invitation to tender for the supply and delivery of mobile devices and accessories with subscription plans,Attorney-General's Chambers,25/2/2020,Awarded to Suppliers,SINGAPORE TELECOMMUNICATIONS LIMITED,1613763.3
AGC000ETT19300015,invitation to tender for the provision of consulting services to design and deliver cybersecurity tabletop exercise ttx and cyberrange exercise crx for agc,Attorney-General's Chambers,12/3/2020,Awarded to Suppliers,KPMG SERVICES PTE. LTD.,115000
AGC000ETT19300016,invitation to tender for the provision of change management services,Attorney-General's Chambers,29/4/2020,Awarded by Items,TERRA SYSTEMS PTE. LTD.,576000
AGC000ETT20300002,itt for the provisioning and maintenance of an application development and deployment platform for the attorneygenerals chambers,Attorney-General's Chambers,24/9/2020,Awarded to Suppliers,Checkbox Technology Pty Ltd,890910
AGC000ETT20300003,itt for the provision of design and delivery services of leadership programmes for the agc,Attorney-General's Chambers,22/7/2020,Awarded to Suppliers,INTERSECT PTE. LTD.,437500
AGC000ETT20300004,invitation to tender for the provision of i real time transcription services and ii transcription services from audio or video recordings,Attorney-General's Chambers,18/9/2020,Awarded by Items,EPIQ SINGAPORE PTE. LTD.,4645.54
AGC000ETT20300005,invitation to tender for the addition and alteration aa works of the attorneygenerals chambers office at 1 upper pickering street,Attorney-General's Chambers,16/11/2020,Awarded to Suppliers,ATELIER TANG (PTE.) LTD.,334533
AGC000ETT21000002,invitation to tender for it change management services,Attorney-General's Chambers,14/7/2021,Awarded by Items,WSH EXPERTS PTE. LTD.,589920
AGC000ETT21000003,invitation to tender for design supply delivery installation testing commissioning of attorneygenerals chambers local area network with an option for maintenance,Attorney-General's Chambers,1/11/2021,Awarded to Suppliers,NEC ASIA PACIFIC PTE. LTD.,5020611
AGC000ETT21000004,invitation to tender for the development maintenance and support services for clause and document extraction tools cadet system,Attorney-General's Chambers,28/11/2021,Awarded to Suppliers,NEC ASIA PACIFIC PTE. LTD.,2616961
AGC000ETT21000006,invitation to tender for the supply delivery support of procurement of professional pdf editor enterprise licenses software,Attorney-General's Chambers,24/11/2021,Awarded to Suppliers,JK TECHNOLOGY PTE LTD,370440
AGC000ETT21000008,invitation to tender for the supply delivery installation testing commissioning of firewall management solution with three 3 years warranty of hardware and software,Attorney-General's Chambers,13/7/2022,Awarded to Suppliers,TECHDIRECT PTE. LTD.,153101.05
AGC000ETT22000002,itt for the provision of agcwide business process  resource allocation review,Attorney-General's Chambers,5/9/2022,Awarded to Suppliers,PRICEWATERHOUSECOOPERS CONSULTING (SINGAPORE) PTE. LTD.,1350000
AGC000ETT22000003,itt for the prototyping development maintenance and support services for an aiassisted classification and taxonomy management system,Attorney-General's Chambers,18/11/2022,Awarded to Suppliers,SMART-WARES PTE. LTD.,1535000
AGC000ETT22000004,itt for the provision to design develop using agile methodology install test commission maintain provide operation support and enhancement services for a new legislation drafting software,Attorney-General's Chambers,5/1/2023,Awarded to Suppliers,SMART-WARES PTE. LTD.,2203300
AGC000ETT22000005,itt for the provision of documents digitisation services,Attorney-General's Chambers,12/12/2022,Awarded to Suppliers,FUJIFILM BUSINESS INNOVATION SINGAPORE PTE. LTD.,19832.5
AGC000ETT22000006,itt for the provision of security services for the attorneygenerals chambers,Attorney-General's Chambers,20/1/2023,Awarded to Suppliers,CERTIS CISCO AUXILIARY POLICE FORCE PTE. LTD.,12249837
AGC000ETT22000007,itt for the provision of offsite storage airconditioned andor nonairconditioned,Attorney-General's Chambers,22/3/2023,Awarded to Suppliers,IRON MOUNTAIN SINGAPORE PTE. LTD.,422.44
AGC000ETT22000008,itt for design and build works for lsc office and renovation works for sdpp office,Attorney-General's Chambers,7/3/2023,Awarded to Suppliers,ATELIER TANG (PTE.) LTD.,656800
CAA000ETT23000023,verification and audit services,Civil Aviation Authority of Singapore,20/11/2023,Awarded by Items,ASSURANCE PARTNERS LLP,189840
AGC000ETT23000002,itt for application maintenance and support for sso and legisgov,Attorney-General's Chambers,30/3/2023,Awarded to Suppliers,SMART-WARES PTE. LTD.,1500000
AGC000ETT23000003,itt for integrated facilities management ifm and cleaning services for agc,Attorney-General's Chambers,3/7/2023,Awarded to Suppliers,SAVILLS PROPERTY MANAGEMENT PTE. LTD.,5787623
AGC000ETT23000004,itt for the supply delivery installation testing commissioning of voice over internet protocol voip telephony system for a period of five 5 years including maintenance of hardware for a period of four 4 years after system warranty,Attorney-General's Chambers,21/6/2023,Awarded to Suppliers,SINGAPORE TELECOMMUNICATIONS LIMITED,670374.5
AGC000ETT23000005,itt for it change management services,Attorney-General's Chambers,19/6/2023,Awarded to Suppliers,SCIENTEC CONSULTING PTE. LTD.,804120
AGC000ETT23000007,itt for the provision of print services to the agc for a period of one 1 year with an option to extend yearly for up to two 2 years,Attorney-General's Chambers,4/10/2023,Awarded to Suppliers,ALL-BEST PHOTOCOPY & PRINTING,1
AGC000ETT23000008,itt for the provision of leadership training for agc,Attorney-General's Chambers,18/9/2023,Awarded to Suppliers,INTERSECT PTE. LTD.,461200
AGO000ETT20300001,for the supply delivery design development installation testing and commissioning of a fully operational email archival management system with the option for maintenance,Auditor-General's Office,14/7/2020,Awarded to Suppliers,SWIFTX SOLUTIONS PTE. LTD.,974570
AGO000ETT20300002,tender for engagement of auditor to carry out a selective audit of a polytechnic,Auditor-General's Office,29/7/2020,Awarded to Suppliers,MOORE STEPHENS LLP,85760
AGO000ETT20300003,invitation to tender for renovation of office space to auditor generals office  55 newton road revenue house 8th floor singapore 307987,Auditor-General's Office,16/10/2020,Awarded to Suppliers,D' PERCEPTION SINGAPORE PTE. LTD.,854965
AGO000ETT22000001,consultancy services for development of agos strategic workforce plan,Auditor-General's Office,18/5/2022,Awarded to Suppliers,ERNST & YOUNG ADVISORY PTE. LTD.,298750
AGO000ETT22000002,to procure adobe acrobat pro aap software licenses for a period of 3 years,Auditor-General's Office,6/6/2022,Awarded to Suppliers,JK TECHNOLOGY PTE LTD,295698
AGO000ETT23000001,provision of consultancy services to develop a smart audit management system for the auditorgenerals office,Auditor-General's Office,31/5/2023,Awarded to Suppliers,KPMG SERVICES PTE. LTD.,358150
AGO000ETT23000002,tender for the provision of cleaning services at auditorgenerals office hqoffice for a period of three 3 years,Auditor-General's Office,19/2/2024,Awarded to Suppliers,TSM GROUP PTE. LTD.,91080
AVA000ETT18300028,tender for provision of consultancy services for review of fees and costing of services,Agri-food and Veterinary Authority,25/6/2019,Awarded to Suppliers,KPMG SERVICES PTE. LTD.,298000
AVA000ETT19300001,provision of lettershopping and mailing services,Agri-food and Veterinary Authority,6/5/2019,Awarded to Suppliers,RMA CONTRACTS PTE. LTD.,177274.8
AVA000ETT19300002,tender for provision of voice over internet protocol voip telephone and phone line subscription,Agri-food and Veterinary Authority,5/4/2019,Awarded to Suppliers,NETPLUZ TELECOMS PTE. LTD.,107088
BCA000ETT18300013,redevelopment of a new fingerprint verification system fvs,Building and Construction Authority,9/5/2019,Awarded to Suppliers,TRANSCENTECH PTE. LTD.,296200
BCA000ETT18300019,event management services for urban sustainability rd congress 2019,Building and Construction Authority,5/4/2019,Awarded to Suppliers,CUBIC SPACE PRIVATE LIMITED,155107.5
BCA000ETT18300020,invitation to tender for proposed construction works at mayflower gardens and yio chu kang gardens estates,Building and Construction Authority,24/4/2019,Awarded to Suppliers,GOLDCASTLE INTERNATIONAL PTE LTD,1766200
BCA000ETT19300003,proposed addition  alteration works involving 2 storey of existing building block a of bca academy for the built environment at 200 braddell road singapore 579700 bishan planning area,Building and Construction Authority,23/4/2019,Awarded to Suppliers,PERFORM INDUSTRIES PTE. LTD.,3096787
BCA000ETT19300004,event management services for bca awards ceremony and dinner 2019,Building and Construction Authority,17/4/2019,Awarded to Suppliers,TMA EVENTS PTE. LTD.,264103
BCA000ETT19300005,appointment of multidisciplinary consultancy services civil and structural engineering mechanical and electrical engineering and quantity surveying for the proposed infrastructure works at seletar,Building and Construction Authority,9/7/2019,Awarded to Suppliers,CKMBT INTERNATIONAL PTE. LTD.,350000
BCA000ETT19300006,replacement of airconditioning system for offices and classrooms at bca academy,Building and Construction Authority,31/5/2019,Awarded to Suppliers,TACTICS SYSTEM ENGINEERING PTE LTD,168500
BCA000ETT19300007,term contract for comprehensive maitenance for horticulture works at bca academy,Building and Construction Authority,31/5/2019,Awarded to Suppliers,BSG LANDSCAPE & CONSTRUCTION PTE. LTD.,324000
BCA000ETT19300011,provision of marine consultancy services for bcamanaged aggregate terminals and related facilities,Building and Construction Authority,11/7/2019,Awarded to Suppliers,AXCEL MARINE PTE. LTD.,12800
BCA000ETT21000004,one year term contract with option to extend for one more year for conducting testing services pull off test  watertightness test for conquas,Building and Construction Authority,14/3/2021,Awarded to Suppliers,TUV SUD PSB PTE. LTD.,15500
BCA000ETT19300014,tender for the addition relocation and removal of workstations including electrical works for powerpoint network point and voice point with provision of labour for minor shifting works for bca hq  jem office for a period of two years,Building and Construction Authority,29/5/2019,Awarded to Suppliers,ERGOWORLD PTE LTD,110045
BCA000ETT19300015,proposed estate upgrading programme eup batch 8 for goldhill estate phase 2,Building and Construction Authority,9/9/2019,Awarded to Suppliers,ADVANCED CONSTRUCTION & ENGINEERING PTE LTD,248378
BCA000ETT19300016,proposed estate upgrading programme eup batch 9 at toh tuck estate,Building and Construction Authority,3/10/2019,Awarded to Suppliers,ADVANCED CONSTRUCTION & ENGINEERING PTE LTD,1453888
BCA000ETT19300020,proposed estate upgrading programme eup batch 9 at jalan merbok estate,Building and Construction Authority,18/10/2019,Awarded to Suppliers,SHIN KHAI CONSTRUCTION PTE. LTD.,892366
BCA000ETT19300022,purchase of new workstations for it labs in bca academy,Building and Construction Authority,25/9/2019,Awarded to Suppliers,JK TECHNOLOGY PTE LTD,354348
BCA000ETT19300023,professional engineering consultancy services for the design of mechanised car parking systems mcps structures,Building and Construction Authority,8/10/2019,Awarded to Suppliers,ARUP SINGAPORE PRIVATE LIMITED,475330
BCA000ETT19300026,proposed estate upgrading programme eup batch 9 at upper changi toh estate,Building and Construction Authority,8/1/2020,Awarded to Suppliers,SHIN KHAI CONSTRUCTION PTE. LTD.,1610826
BCA000ETT19300027,estate upgrading programme eup batch 8 for bartley neighbourhood estate phase 2,Building and Construction Authority,27/12/2019,Awarded to Suppliers,SHIN KHAI CONSTRUCTION PTE. LTD.,311063
BCA000ETT19300028,minor renovation works at bca hq  jem office level 10 pantry for realignment of glass partition downsize pantry and creation of new room,Building and Construction Authority,3/10/2019,Awarded to Suppliers,DAVOE CREATIVE PTE. LTD.,50153
BCA000ETT19300030,consultancy services for robotics rd roadmap,Building and Construction Authority,15/1/2020,Awarded to Suppliers,FROST & SULLIVAN (SINGAPORE) PTE LTD,460000
BCA000ETT19300031,minor renovation works at bca hq  jem office level 10 for creation of new reinforced room,Building and Construction Authority,6/11/2019,Awarded to Suppliers,DAVOE CREATIVE PTE. LTD.,75779
BCA000ETT19300032,term contract for evaluation of essential construction materials sand  granite,Building and Construction Authority,28/11/2019,Awarded by Items,ELEMENT CONSTRUCTION TESTING (S) PTE. LTD.,600
BCA000ETT19300033,provision of medical services to building and construction authority for the period 1 jan 2020 to 31 dec 2022,Building and Construction Authority,2/12/2019,Awarded to Suppliers,RAFFLES MEDICAL GROUP LTD,811.5
BCA000ETT19300035,environmental impact study at mandai,Building and Construction Authority,19/3/2020,Awarded to Suppliers,ENVIROSOLUTIONS & CONSULTING PTE. LTD.,56000
BCA000ETT19300038,proposed replacement works of solar pv system at existing building block a of bca academy for the built environment at 200 braddell road singapore 579700 bishan planning area,Building and Construction Authority,16/3/2020,Awarded to Suppliers,SOLARGY PTE. LTD.,619500
BCA000ETT20300002,supply install and commissioning of two sets of new mooring system to replace existing mooring systems b8a and b9a at pulau punggol aggregate terminal,Building and Construction Authority,12/3/2020,Awarded to Suppliers,QUIN RIGHT ENTERPRISES (PTE) LTD,213200
BCA000ETT20300003,appointment of vendor to manage activities and communications for bca ibuildsg club for 2 years with an option to extend for 2 years,Building and Construction Authority,22/5/2020,Awarded to Suppliers,TERRA SG PTE. LTD.,478000
BCA000ETT20300006,outcomebased procurement for the supply delivery installation testing and commissioning of a fully operational model checker of corenet x with an option for maintenance,Building and Construction Authority,4/12/2020,Awarded by Items,NOVACITYNETS PTE LTD,1636500
BCA000ETT20300007,invitation to tender for the technology refresh of audiovisual av equipment at bca hq  jem office inclusive of 1 year defects liability period dlp with comprehensive maintenance during dlp and additional 3 years equipment warranty after dlp,Building and Construction Authority,26/3/2020,Awarded to Suppliers,01 COMPUTER SYSTEM PTE LTD,139631.4
BCA000ETT20300009,for the provision of services to develop a localised industry foundation classes ifc information model,Building and Construction Authority,25/8/2020,Awarded to Suppliers,NOVACITYNETS PTE LTD,1064000
BCA000ETT20300013,market research services on benchmarking survey for facilities management industry,Building and Construction Authority,13/8/2020,Awarded to Suppliers,EDEN STRATEGY INSTITUTE LLP,221500
BCA000ETT20300015,term contract for supply and performance of structural rectification and backfilling works and services,Building and Construction Authority,3/6/2020,Awarded by Items,CHL CONSTRUCTION PTE LTD,86400
BCA000ETT20300016,term contract for provision of subscribed access to a system via a web user interface ui that provides monitoring and tracking of vessels location using a combination of ais automatic identification system terrestrial coastal and satellite information gathered from ais transponders installed on all vessels with and without registered imo international maritime organisation number,Building and Construction Authority,25/7/2020,Awarded to Suppliers,EXMILE SOLUTIONS LIMITED,25160.29
BCA000ETT20300017,appointment of facilities management company to provide integrated facilities management services for bca braddell campus,Building and Construction Authority,17/11/2020,Awarded to Suppliers,SAVILLS PROPERTY MANAGEMENT PTE. LTD.,6450652
BCA000ETT20300019,provision of legal services to the building and construction authority,Building and Construction Authority,17/9/2020,Awarded by Items,ADVOCATUS LAW LLP,1010
BCA000ETT20300020,provision of professional engineering consultancy services to building and construction authority for a period of three 3 years with the option to extend another 2 years,Building and Construction Authority,11/11/2020,Awarded by Items,ARUP SINGAPORE PRIVATE LIMITED,2220
BCA000ETT20300024,invitation to tender for consolidated application maintenance and support services for the building  construction authority bca it systems,Building and Construction Authority,23/2/2021,Awarded to Suppliers,NTT DATA SINGAPORE PTE. LTD.,2253228
BCA000ETT20300025,enhancement of super low energy building smart hub,Building and Construction Authority,22/2/2021,Awarded to Suppliers,HITACHI ASIA LTD.,1868000
BCA000ETT20300027,proposed estate upgrading programme eup batch 9 at happy gardens estate,Building and Construction Authority,15/3/2021,Awarded to Suppliers,ADVANCED CONSTRUCTION & ENGINEERING PTE LTD,1547800
BCA000ETT20300028,upgrading and maintenance of the weighbridge system at pulau punggol aggregate terminal,Building and Construction Authority,17/3/2021,Awarded to Suppliers,CSD INDUSTRIES PTE LTD,955100
BCA000ETT21000001,design supply install and commissioning of hybrid broadcasting system in bca braddell campus,Building and Construction Authority,8/6/2021,Awarded to Suppliers,BROADCAST ENGINEERING SERVICES PTE LTD,862245
BCA000ETT21000002,term contract for the maintenance of mechanical electrical and plumbing mep audio visual and ip telephony services for bca braddell campus,Building and Construction Authority,12/5/2021,Awarded to Suppliers,SAVILLS PROPERTY MANAGEMENT PTE. LTD.,2161002
BCA000ETT21000003,proposed estate upgrading programme eup batch 9 at sea breeze garden estate,Building and Construction Authority,13/7/2021,Awarded to Suppliers,YU YEO CONSTRUCTION PTE LTD,1220978
DEF000ETT21000024,rental of large props,Ministry of Defence,21/5/2021,Awarded by Items,Q'S ADVERTISING PTE. LTD.,153900
BCA000ETT21000005,proposed reinforced concrete utility trench at causeway near pulau punggol barat and temporary sanitary facility at pulau punggol barat,Building and Construction Authority,23/8/2021,Awarded to Suppliers,PACT BUILDERS PTE. LTD.,3298000
BCA000ETT21000006,lease of vehicles for bca for a period of twentyfour months from 1 may 2021 to 30 april 2023 with option to extend for another twelve months from 1 may 2023 to 30 april 2024,Building and Construction Authority,18/5/2021,Awarded to Suppliers,COMFORTDELGRO RENT-A-CAR PTE. LTD.,183600
BCA000ETT21000007,conversion of substructure building plans into bim format,Building and Construction Authority,6/10/2021,Awarded to Suppliers,ACEPLP.COM PTE LTD,538000
BCA000ETT21000009,tender for the provision of consultancy services for i design and construction ii facility management cluster manpower study,Building and Construction Authority,6/8/2021,Awarded to Suppliers,ERNST & YOUNG ADVISORY PTE. LTD.,888000
BCA000ETT21000010,term contract for evaluation of essential construction materials sand  granite,Building and Construction Authority,7/6/2021,Awarded by Items,ELEMENT CONSTRUCTION TESTING (S) PTE. LTD.,600
BCA000ETT21000011,proposed additions and alterations involving new road extension to the existing seletar west walk on lot 04982k pt mk 20 at seletar west link,Building and Construction Authority,20/11/2021,Awarded to Suppliers,CHYE JOO CONSTRUCTION PTE LTD,5607788
BCA000ETT21000013,maintenance of bca tremor monitoring system tms for 37 buildings,Building and Construction Authority,27/9/2021,Awarded to Suppliers,RYOBI GEOTECHNIQUE INTERNATIONAL PTE. LTD.,1298928
BCA000ETT21000014,proposed estate upgrading programme eup batch 9 at clover estate,Building and Construction Authority,14/9/2021,Awarded to Suppliers,JEI FONG ENGINEERING PTE. LTD.,1129310
BCA000ETT21000015,appointment of implementing consultants for the estate upgrading programme eup batch 10 at cheng san cactus sunrise and fulton estates,Building and Construction Authority,14/1/2022,Awarded to Suppliers,E M SERVICES PRIVATE LIMITED,16.53
BCA000ETT21000016,appointment of implementing consultants for the estate upgrading programme eup batch 10 at mei hwan and frankel estates,Building and Construction Authority,14/1/2022,Awarded to Suppliers,SIPM CONSULTANTS PTE. LTD.,15.38
BCA000ETT21000017,appointment of implementing consultants for the estate upgrading programme eup batch 10 at kew estate,Building and Construction Authority,14/1/2022,Awarded to Suppliers,CGNG ARCHITECTS,31.23
BCA000ETT21000018,appointment of implementing consultants for the estate upgrading programme eup batch 10 at namly estate,Building and Construction Authority,14/1/2022,Awarded to Suppliers,SIPM CONSULTANTS PTE. LTD.,21.38
BCA000ETT21000019,appointment of implementing consultants for the estate upgrading programme eup batch 10 at pasir panjang private estate,Building and Construction Authority,14/1/2022,Awarded to Suppliers,CGNG ARCHITECTS,31.25
BCA000ETT21000020,appointment of implementing consultants for the estate upgrading programme eup batch 10 at thomson adelphi and soo chow estate,Building and Construction Authority,14/1/2022,Awarded to Suppliers,E M SERVICES PRIVATE LIMITED,26.21
BCA000ETT21000021,appointment of implementing consultants for the estate upgrading programme eup batch 10 at pemimpin estate,Building and Construction Authority,14/1/2022,Awarded to Suppliers,E M SERVICES PRIVATE LIMITED,29.31
BCA000ETT21000022,appointment of implementing consultants for the estate upgrading programme eup batch 10 at watten estate,Building and Construction Authority,14/1/2022,Awarded to Suppliers,SQFT ARCHITECTS PTE. LTD.,14
BCA000ETT21000023,appointment of implementing consultants for the estate upgrading programme eup batch 10 at westwood estate,Building and Construction Authority,14/1/2022,Awarded to Suppliers,SQFT ARCHITECTS PTE. LTD.,18.5
BCA000ETT21000025,invitation to tender for the provision of upgrade application maintenance and support services for customer feedback management system cfms for the building  construction authority bca,Building and Construction Authority,24/1/2022,Awarded to Suppliers,NEC ASIA PACIFIC PTE. LTD.,1738000
BCA000ETT21000026,multidisciplinary consultancy services civil and structural engineering and quantity surveying for the proposed rectifications to the revetment at pulau punggol timor,Building and Construction Authority,17/12/2021,Awarded to Suppliers,OGP KONSULT PTE. LTD.,149550
BCA000ETT21000029,proposed design and build furniture and fitting out works to training and collaboration spaces for new building at bca braddell campus,Building and Construction Authority,3/3/2022,Awarded to Suppliers,YUAN MEI CHEN (S) PTE. LTD.,1198000
BCA000ETT21000030,appointment of professional engineer to inspect and monitor foreshore structures for the building and construction authority bca for a period of three 3 years,Building and Construction Authority,28/3/2022,Awarded to Suppliers,FONG CONSULT PTE. LTD.,437000
BCA000ETT21000031,conversion of substructure building plans into bim format,Building and Construction Authority,22/3/2022,Awarded to Suppliers,BIMAGE CONSULTING PTE. LTD.,923400
BCA000ETT22000004,supply install and commission of six sets of new mooring system as replacement to existing mooring systems b1a b2a b3a b4a b5a and b3 at pulau punggol aggregate terminal,Building and Construction Authority,18/5/2022,Awarded to Suppliers,QUIN RIGHT ENTERPRISES (PTE) LTD,1180000
BCA000ETT22000007,appointment of external auditor for building and construction authority for fy2022 accounts with option to extend on annual basis for another six financial years,Building and Construction Authority,8/7/2022,Awarded to Suppliers,DELOITTE & TOUCHE LLP,945000
BCA000ETT22000008,appointment of managing agent to maintain foreshore structures for the building and construction authority for a period of 3 years,Building and Construction Authority,15/6/2022,Awarded to Suppliers,DELTA MARINE CONSULTANTS SINGAPORE PTE. LTD.,606900
BCA000ETT22000011,engagement of accelerator for built environment accelerate to market programme,Building and Construction Authority,14/6/2022,Awarded to Suppliers,PADANG ECOSYSTEM PTE. LTD.,1301750
BCA000ETT22000012,appointment of term contractor to maintain foreshore structures for building and construction authority bca for a period of three 3 years,Building and Construction Authority,30/8/2022,Awarded to Suppliers,OUNG CONSTRUCTION (S) PTE LTD,4910000
BCA000ETT22000013,provision of storage area and racks for keeping soil and core samples for 18 months,Building and Construction Authority,20/6/2022,Awarded to Suppliers,WSH EXPERTS PTE. LTD.,160200
BCA000ETT22000014,provision of marine consultancy services for bcamanaged aggregate terminal and related facilities,Building and Construction Authority,6/9/2022,Awarded to Suppliers,AXCEL MARINE PTE. LTD.,51200
BCA000ETT22000015,provision of services to supply software design configure develop migrate existing data and commission the project portal pp system with system operations support services for the building  construction authority bca,Building and Construction Authority,14/12/2022,Awarded to Suppliers,TEMUS PTE. LTD.,13951764.36
BCA000ETT22000016,provision of offsite archival of documents services to building and construction authority pro202203100003  itt202204060002,Building and Construction Authority,7/10/2022,Awarded to Suppliers,IRON MOUNTAIN SINGAPORE PTE. LTD.,98221
BCA000ETT22000017,appointment of interior design services for bca office at jem office tower,Building and Construction Authority,6/10/2022,Awarded to Suppliers,ASPACIO DESIGN ASSOCIATES PTE LTD,158000
BCA000ETT22000021,provision of editorial services for builsg portal for a period of one 1 year with option to extend for another two 2 years bca220007eapp20220800509,Building and Construction Authority,6/12/2022,Awarded to Suppliers,THE NUTGRAF HOLDINGS PTE. LTD.,157880
BCA000ETT22000022,term contract for evaluation of essential construction materials sand  granite,Building and Construction Authority,16/12/2022,Awarded by Items,ELEMENT CONSTRUCTION TESTING (S) PTE. LTD.,600
BCA000ETT22000023,supply of credit rating report,Building and Construction Authority,4/1/2023,Awarded to Suppliers,SINGAPORE COMMERCIAL CREDIT BUREAU PTE. LTD.,196
